"date","time","size","version","os","country","ip_id"
"2019-10-05","19:54:34",82547594,"3.4.4","win","US",37
"2019-10-05","19:55:14",84681888,"3.6.1","win","BR",47
"2019-10-05","20:10:28",84921462,"3.6.1patched","win","US",23
"2019-10-05","20:10:47",84775752,"3.6.1","win","US",195
"2019-10-05","20:11:12",79433064,"latest","osx","US",3
"2019-10-05","20:11:18",84775536,"3.6.1","win","IT",196
"2019-10-05","20:11:24",84774901,"3.6.1","win","PK",197
"2019-10-05","20:11:24",82819531,"3.5.3","win","US",23
"2019-10-05","20:11:49",84776958,"3.6.1","win",NA,1
"2019-10-05","20:12:22",79426292,"3.6.1","osx","US",198
"2019-10-05","20:12:39",84775271,"3.6.1","win","FR",199
"2019-10-05","20:13:18",84921463,"3.6.1patched","win","US",12
"2019-10-05","20:13:22",84779775,"3.6.1","win","MT",200
"2019-10-05","20:13:59",84775455,"3.6.1","win","IE",201
"2019-10-05","20:14:55",84780453,"3.6.1","win","US",202
"2019-10-05","20:15:14",82456239,"3.4.4","win","US",11
"2019-10-05","20:15:24",79427574,"3.6.1","osx","US",203
"2019-10-05","20:15:33",84775875,"3.6.1","win","ID",204
"2019-10-05","15:30:36",84781349,"3.6.1","win","FR",205
"2019-10-05","15:31:44",6863781,"3.6.1","win","US",206
"2019-10-05","15:32:14",79425980,"3.6.1","osx","BR",207
"2019-10-05","15:32:14",79426248,"latest","osx","US",3
"2019-10-05","15:32:45",84777137,"3.6.1","win","TW",208
"2019-10-05","15:32:53",84775611,"3.6.1","win",NA,1
"2019-10-05","15:32:52",84681884,"3.6.1","win",NA,1
"2019-10-05","15:33:31",78088672,"3.5.2","osx","US",3
"2019-10-05","15:33:52",18730575,"3.6.1","win",NA,1
"2019-10-05","15:34:05",79425908,"3.6.1","osx","RO",209
"2019-10-05","15:34:00",79425832,"latest","osx","US",3
"2019-10-05","15:34:17",84774975,"3.6.1","win","US",210
"2019-10-05","15:34:36",84774914,"3.6.1","win","UA",211
"2019-10-05","15:34:37",84774904,"3.6.1","win","AE",212
"2019-10-05","15:34:11",82554353,"3.4.4","win","US",20
"2019-10-05","15:35:18",84775428,"3.6.1","win","AT",213
"2019-10-05","15:35:28",6298910,"3.6.1","win","CN",214
"2019-10-05","06:10:39",74889290,"3.3.3","osx","US",3
"2019-10-05","06:11:27",84681891,"3.6.1","win","US",215
"2019-10-05","06:11:56",84774857,"3.6.1","win","US",216
"2019-10-05","06:12:07",84783570,"3.6.1","win","US",23
"2019-10-05","06:12:48",84774920,"3.6.1","win","PE",217
"2019-10-05","06:13:51",84935694,"3.6.1patched","win","US",23
"2019-10-05","06:14:48",84778332,"3.6.1","win","US",218
"2019-10-05","06:14:54",84775196,"3.6.1","win","FI",219
"2019-10-05","06:14:52",77266252,"3.4.4","osx","US",3
"2019-10-05","04:36:51",79425869,"3.6.1","osx","CA",220
"2019-10-05","13:50:53",1016488,"3.6.1","win","EG",221
"2019-10-05","13:50:59",84681891,"3.6.1",NA,"US",23
"2019-10-05","13:51:10",1051200,"3.6.1","win","CN",222
"2019-10-05","13:51:52",84779240,"3.6.1","win","EG",223
"2019-10-05","13:52:07",84775404,"3.6.1","win","US",224
"2019-10-05","13:52:30",84776981,"3.6.1","win","MX",225
"2019-10-05","13:52:43",84774925,"3.6.1","win","PT",226
"2019-10-05","13:52:47",84775761,"3.6.1","win","CH",227
"2019-10-05","13:53:18",84776874,"3.6.1","win","CL",228
"2019-10-05","13:53:44",79429354,"3.6.1","osx","US",229
"2019-10-05","13:53:45",84775096,"3.6.1","win","US",230
"2019-10-05","13:54:04",84929357,"3.6.1patched","win","US",20
"2019-10-05","13:54:27",79426508,"3.6.1","osx",NA,1
"2019-10-05","13:54:30",79428453,"3.6.1","osx","NL",231
"2019-10-05","13:54:26",84779198,"3.6.1","win","RU",232
"2019-10-05","13:54:35",84775417,"3.6.1","win","GB",233
"2019-10-05","13:54:39",84774958,"3.6.1","win",NA,1
"2019-10-05","13:54:43",84774817,"3.6.1","win","ES",234
"2019-10-05","13:55:19",84778694,"3.6.1","win",NA,1
"2019-10-05","16:50:39",79428212,"3.6.1","osx",NA,1
"2019-10-05","16:50:38",79425835,"latest","osx","US",3
"2019-10-05","16:51:10",84681891,"3.6.1","win","ES",235
"2019-10-05","16:51:13",79338825,"3.6.1","osx",NA,1
"2019-10-05","16:51:28",84779686,"3.6.1","win",NA,1
"2019-10-05","16:52:24",84681884,"3.6.1","win","FR",236
